idx,miou,dice,pixel_acc
0,0.4199,0.5514,0.7682
1,0.8261,0.898,0.9488
2,0.7628,0.8556,0.9147
3,0.409,0.557,0.6936
4,0.8405,0.9062,0.9489
5,0.5474,0.69,0.7889
6,0.8346,0.9042,0.957
7,0.8672,0.9241,0.9578
8,0.7317,0.8327,0.9045
9,0.7551,0.8492,0.894
10,0.6617,0.7716,0.8744
11,0.7914,0.874,0.9259
12,0.5813,0.728,0.7749
13,0.8302,0.9,0.9399
14,0.6525,0.7652,0.8535
15,0.4763,0.6076,0.7724
16,0.6954,0.7982,0.8677
17,0.8679,0.9237,0.967
18,0.7862,0.8726,0.9118
19,0.7172,0.8212,0.868
20,0.3996,0.5429,0.6901
21,0.6346,0.7621,0.8743
22,0.7532,0.8458,0.9006
23,0.8787,0.9312,0.9641
24,0.7917,0.8715,0.9446
25,0.8604,0.9187,0.9659
26,0.6178,0.7561,0.8221
27,0.823,0.8952,0.9477
28,0.8311,0.8997,0.9434
29,0.8393,0.9067,0.9678
30,0.789,0.8705,0.9393
31,0.4476,0.607,0.6757
32,0.8074,0.8853,0.9297
33,0.6981,0.8044,0.9283
34,0.8486,0.9142,0.9593
35,0.7871,0.8686,0.9554
36,0.7359,0.8367,0.919
37,0.8287,0.9,0.9639
38,0.8431,0.9066,0.9567
39,0.7396,0.8367,0.9416
40,0.8143,0.8913,0.9277
41,0.7926,0.8768,0.9189
42,0.7559,0.8506,0.9321
43,0.4589,0.6091,0.6827
44,0.7921,0.8758,0.913
45,0.7042,0.8116,0.8903
46,0.458,0.6128,0.6838
47,0.3453,0.4982,0.5642
48,0.8134,0.8911,0.939
49,0.579,0.7058,0.7942
50,0.8674,0.9249,0.9603
51,0.8368,0.9054,0.9415
52,0.8564,0.9167,0.9613
53,0.7684,0.8611,0.896
54,0.7515,0.845,0.9071
55,0.8443,0.9091,0.9636
56,0.5725,0.7057,0.7947
57,0.768,0.8548,0.9191
58,0.5452,0.6864,0.7772
59,0.6548,0.7817,0.828
60,0.7714,0.8603,0.939
61,0.8552,0.9177,0.9451
62,0.8338,0.9054,0.937
63,0.6314,0.7626,0.8147
64,0.7271,0.8286,0.8989
65,0.5901,0.7415,0.7458
66,0.344,0.5041,0.5489
67,0.837,0.9067,0.9557
68,0.7603,0.8486,0.9073
69,0.7789,0.8662,0.9377
70,0.6945,0.809,0.859
71,0.7318,0.8284,0.8987
72,0.7952,0.8765,0.9763
73,0.8388,0.9043,0.9549
74,0.7292,0.8295,0.8951
75,0.7838,0.868,0.9269
76,0.7681,0.8561,0.9216
77,0.8535,0.914,0.9608
78,0.6207,0.7634,0.7875
79,0.7575,0.8511,0.929
80,0.8678,0.9261,0.9487
81,0.8306,0.9015,0.9395
82,0.8314,0.902,0.9365
83,0.5501,0.7,0.7422
84,0.8296,0.9017,0.9407
85,0.4699,0.6257,0.6824
86,0.8748,0.9282,0.9672
87,0.7009,0.809,0.8695
88,0.7054,0.8105,0.8773
89,0.743,0.8391,0.8942
90,0.7645,0.856,0.9153
91,0.642,0.767,0.8856
92,0.57,0.7115,0.7708
93,0.8407,0.9073,0.9656
94,0.7798,0.8656,0.9517
95,0.7968,0.8736,0.9375
96,0.7337,0.8322,0.9417
97,0.8683,0.926,0.9567
98,0.702,0.8145,0.8865
99,0.6928,0.798,0.8898
100,0.6845,0.7941,0.8976
101,0.7995,0.8802,0.9472
102,0.6834,0.7983,0.8558
103,0.6868,0.8021,0.8489
104,0.7408,0.8399,0.8918
105,0.7698,0.8573,0.9103
106,0.6745,0.7937,0.8425
107,0.5341,0.6704,0.7592
108,0.7687,0.859,0.9203
109,0.6311,0.7628,0.8156
110,0.6664,0.775,0.8888
111,0.686,0.7912,0.8694
112,0.6974,0.7969,0.897
113,0.7744,0.8566,0.9301
114,0.6767,0.7895,0.8677
115,0.4676,0.621,0.6894
116,0.806,0.8852,0.9193
117,0.5674,0.7111,0.7664
118,0.7133,0.8194,0.8845
119,0.6525,0.7732,0.863
120,0.7999,0.8797,0.9507
121,0.7764,0.8663,0.9054
122,0.4196,0.5688,0.6625
123,0.7763,0.8655,0.8969
124,0.774,0.8663,0.8929
125,0.5784,0.7086,0.79
126,0.6916,0.8034,0.8661
127,0.7219,0.8279,0.8738
128,0.8499,0.9127,0.9521
129,0.6239,0.7478,0.8493
130,0.8063,0.8824,0.938
131,0.7472,0.8446,0.8833
132,0.6345,0.7718,0.8068
133,0.5551,0.6806,0.8967
134,0.7386,0.8396,0.9383
135,0.3831,0.5395,0.6027
136,0.53,0.6654,0.7654
137,0.7102,0.8156,0.9095
138,0.7396,0.8436,0.8831
